epoch,ce,arcface,supcon,triplet,loss,model_key,split,val_single_top1_acc,val_single_top5_acc,val_single_top10_acc,val_single_top20_acc,val_single_top50_acc,val_single_micro_ap,val_twoside_mean_top1_acc,val_twoside_mean_top5_acc,val_twoside_mean_top10_acc,val_twoside_mean_top20_acc,val_twoside_mean_top50_acc,val_twoside_mean_micro_ap,val_twoside_mean_pair_count,val_twoside_max_top1_acc,val_twoside_max_top5_acc,val_twoside_max_top10_acc,val_twoside_max_top20_acc,val_twoside_max_top50_acc,val_twoside_max_micro_ap,val_twoside_max_pair_count,lr
1,8.475998649597168,17.61766276550293,1.7120563893318177,0.1135294337682426,10.801208408355713,dinov2_large_projection_head,val,0.0899328887462616,0.29530200362205505,0.43892616033554077,0.5919463038444519,0.7879194617271423,0.030840552730162958,0.1456628441810608,0.39607200026512146,0.5368248820304871,0.6808510422706604,0.8543371558189392,0.03924063268337735,611,0.10474631935358047,0.3600654602050781,0.486088365316391,0.6595744490623474,0.8216039538383484,0.03812688053566189,611,0.0009990133642141358
2,8.407652324676514,16.96518251800537,1.3972282328605652,0.05157204370340333,10.307541275024414,dinov2_large_projection_head,val,0.1302013397216797,0.38791945576667786,0.5342282056808472,0.6711409687995911,0.8389261960983276,0.04837426264953171,0.20458264648914337,0.486088365316391,0.6333878636360168,0.7397708892822266,0.9067103266716003,0.06405798144534298,611,0.17675940692424774,0.43044188618659973,0.5875613689422607,0.7381342053413391,0.9050736427307129,0.0634501561278649,611,0.000996057350657239
3,8.325532871246338,16.43253833770752,1.3309117622375488,0.0363452516424295,10.04960803604126,dinov2_large_projection_head,val,0.17583893239498138,0.46711409091949463,0.6147651076316833,0.7395973205566406,0.900671124458313,0.07156708957096836,0.2896890342235565,0.5826513767242432,0.7021276354789734,0.8281505703926086,0.936170220375061,0.10106445795469336,611,0.23076923191547394,0.5482814908027649,0.6890343427658081,0.8134205937385559,0.9328969120979309,0.10312685123439705,611,0.0009911436253643444
4,8.21740168762207,15.691301208496094,1.301181828022003,0.02911988517246209,9.7473025932312,dinov2_large_projection_head,val,0.2228187918663025,0.5302013158798218,0.653691291809082,0.7946308851242065,0.9288590550422668,0.09567576159899921,0.3436988592147827,0.6546644568443298,0.7659574747085571,0.8723404407501221,0.950900137424469,0.14021680929950767,611,0.28477904200553894,0.6055646538734436,0.7364975214004517,0.8379705548286438,0.9558101296424866,0.13698683927175503,611,0.0009842915805643156
5,8.115789413452148,15.130212413787842,1.2747275652885437,0.02214436896564439,9.504768932342529,dinov2_large_projection_head,val,0.25234898924827576,0.5919463038444519,0.7020134329795837,0.8322147727012634,0.9463087320327759,0.08554335576791075,0.37479540705680847,0.7004910111427307,0.8085106611251831,0.9132569432258606,0.9590834975242615,0.11810371810325333,611,0.30605563521385193,0.6628478169441223,0.7643207907676697,0.8887070417404175,0.9607201218605042,0.11856770863810145,611,0.0009755282581475769
6,7.992462562561035,14.519606033325195,1.2730829191207886,0.02104258576943539,9.258001167297364,dinov2_large_projection_head,val,0.25906041264533997,0.6013422608375549,0.727516770362854,0.8496644496917725,0.9557046890258789,0.12257319044939907,0.40425533056259155,0.7119476199150085,0.8297872543334961,0.914893627166748,0.9738134145736694,0.16731542828242593,611,0.3027823269367218,0.6775777339935303,0.7806873917579651,0.9018003344535828,0.9689034223556519,0.17102507925735788,611,0.0009648882429441258
7,7.85657325553894,13.821270015716554,1.2729759635925293,0.01916828460987017,8.979168796539307,dinov2_large_projection_head,val,0.281879186630249,0.6348993182182312,0.7704697847366333,0.8711409568786621,0.9664429426193237,0.1324379420585821,0.4189852774143219,0.7299509048461914,0.8625204563140869,0.9328969120979309,0.9770867228507996,0.18240466942092384,611,0.3436988592147827,0.6824877262115479,0.8232405781745911,0.9181669354438782,0.978723406791687,0.1794995729558479,611,0.0009524135262330099
8,7.749586902618408,13.190184242248534,1.2700640029907226,0.01475208961655153,8.731220197677612,dinov2_large_projection_head,val,0.30469799041748047,0.6590604186058044,0.7798658013343811,0.8697986602783203,0.9731543660163879,0.1318855444110134,0.43371522426605225,0.7708674073219299,0.8756137490272522,0.9230769276618958,0.9803600907325745,0.1955693780418273,611,0.3649754524230957,0.7315875887870789,0.8396071791648865,0.9099836349487305,0.9852700233459473,0.19040167330615024,611,0.0009381533400219318
9,7.615619159698486,12.540710285186767,1.2774701995849609,0.01618138284581073,8.475578886032105,dinov2_large_projection_head,val,0.33154362440109253,0.6724832057952881,0.7892617583274841,0.900671124458313,0.9691275358200073,0.15737882436179557,0.4844517111778259,0.7708674073219299,0.8723404407501221,0.9394435286521912,0.9803600907325745,0.22143590170354263,611,0.3944353461265564,0.7512274980545044,0.844517171382904,0.9312602281570435,0.9885433912277222,0.2292399538225672,611,0.0009221639627510075
10,7.484293949127197,11.689926273345947,1.2872803430557251,0.01410981558849744,8.160098119735718,dinov2_large_projection_head,val,0.3234899342060089,0.6953020095825195,0.800000011920929,0.899328887462616,0.9744966626167297,0.17016771150465818,0.46644845604896545,0.8068739771842957,0.8821603655815125,0.9345335364341736,0.9869067072868347,0.23280900987476513,611,0.4026186466217041,0.7545008063316345,0.8625204563140869,0.9214402437210083,0.9934533834457397,0.22773279774239308,611,0.0009045084971874736
11,7.357171873092652,11.06222668838501,1.2822468709945678,0.010375067176413722,7.902089405059814,dinov2_large_projection_head,val,0.3583892583847046,0.7020134329795837,0.8134227991104126,0.9073825478553772,0.9731543660163879,0.21195458353551785,0.5008183121681213,0.798690676689148,0.8985270261764526,0.9427168369293213,0.9803600907325745,0.2936118875146034,611,0.43044188618659973,0.7610474824905396,0.8739770650863647,0.9312602281570435,0.9885433912277222,0.2753369817936611,611,0.0008852566213878945
12,7.226798822402954,10.406587623596192,1.3001502237319946,0.013339584565808764,7.654818668365478,dinov2_large_projection_head,val,0.3704698085784912,0.744966447353363,0.8550335764884949,0.927516758441925,0.9785234928131104,0.20536277028588554,0.5073649883270264,0.8559738397598267,0.9198036193847656,0.9607201218605042,0.9869067072868347,0.28174511305309796,611,0.4615384638309479,0.8068739771842957,0.9099836349487305,0.9590834975242615,0.9934533834457397,0.26497968869600624,611,0.0008644843137107056
13,7.067593088150025,9.72110775756836,1.3045730924606322,0.010737068643364182,7.370846073150635,dinov2_large_projection_head,val,0.37852349877357483,0.7503355741500854,0.8536912798881531,0.9342281818389893,0.9785234928131104,0.22482911840645164,0.5270048975944519,0.8494271636009216,0.9165302515029907,0.9672667980194092,0.9869067072868347,0.3065035658444599,611,0.464811772108078,0.8003273606300354,0.9034369587898254,0.957446813583374,0.9885433912277222,0.29692439125679176,611,0.0008422735529643443
14,6.952527990341187,9.172394994735718,1.3107663426399232,0.010350708955607843,7.152764524459839,dinov2_large_projection_head,val,0.39194631576538086,0.7463087439537048,0.8483221530914307,0.9302013516426086,0.9758388996124268,0.24811192090587822,0.5384615659713745,0.8510638475418091,0.9099836349487305,0.9623568058013916,0.9869067072868347,0.32960517989911015,611,0.4680851101875305,0.8134205937385559,0.8903437256813049,0.9492635130882263,0.9934533834457397,0.3219863588199402,611,0.0008187119948743448
15,6.837606128692627,8.583353162765503,1.3148256182670592,0.008465565376420273,6.920112930297852,dinov2_large_projection_head,val,0.39463087916374207,0.7583892345428467,0.8483221530914307,0.935570478439331,0.9771811962127686,0.23641831837909422,0.5433714985847473,0.8543371558189392,0.929623544216156,0.9738134145736694,0.9950900077819824,0.32168355051728464,611,0.4729951024055481,0.8363338708877563,0.9132569432258606,0.9623568058013916,0.9918166995048523,0.3046033507108055,611,0.0007938926261462366
16,6.734174476623535,8.085940046310425,1.320836591720581,0.008895989633769204,6.723682132720947,dinov2_large_projection_head,val,0.38791945576667786,0.7409396171569824,0.8510066866874695,0.9395973086357117,0.9785234928131104,0.23686358784175277,0.5253682732582092,0.8412438631057739,0.9099836349487305,0.9738134145736694,0.9918166995048523,0.3249696466267242,611,0.47463175654411316,0.8052372932434082,0.8854337334632874,0.9590834975242615,0.9934533834457397,0.2994745622503681,611,0.0007679133974894982
17,6.60001301574707,7.592054319381714,1.3309756684303284,0.009547521203829092,6.515989101409912,dinov2_large_projection_head,val,0.4000000059604645,0.7530201077461243,0.8630872368812561,0.9382550120353699,0.9758388996124268,0.2472504851527976,0.5531914830207825,0.8674304485321045,0.9394435286521912,0.9705401062965393,0.9950900077819824,0.33296277960001686,611,0.486088365316391,0.8281505703926086,0.9067103266716003,0.9656301140785217,0.9934533834457397,0.3188612032548418,611,0.0007408768370508576
18,6.513878583908081,7.232610995292664,1.3255389270782472,0.007915735304850386,6.360140937805176,dinov2_large_projection_head,val,0.4147650897502899,0.7718120813369751,0.8711409568786621,0.9409396052360535,0.9771811962127686,0.25751941140245804,0.5433714985847473,0.8641571402549744,0.9328969120979309,0.9770867228507996,0.9967266917228699,0.3400958808607404,611,0.4975450038909912,0.8199672698974609,0.9034369587898254,0.9672667980194092,0.9934533834457397,0.32103480166947485,611,0.0007128896457825362
19,6.415733711242676,6.767034436225891,1.32382084608078,0.005162083719536895,6.168265310287476,dinov2_large_projection_head,val,0.4120805263519287,0.7758389115333557,0.8751677870750427,0.9463087320327759,0.9731543660163879,0.2549892783801727,0.5499181747436523,0.8707037568092346,0.9378068447113037,0.9770867228507996,0.9967266917228699,0.34169847800992426,611,0.5073649883270264,0.8248772621154785,0.9050736427307129,0.9705401062965393,0.9950900077819824,0.32060249351679165,611,0.0006840622763423389
20,6.317045892715454,6.467207374572754,1.3286827902793885,0.006366484693571693,6.033219718933106,dinov2_large_projection_head,val,0.4214765131473541,0.7704697847366333,0.8778523206710815,0.9409396052360535,0.9812080264091492,0.25001809719670437,0.5630114674568176,0.8772504329681396,0.9394435286521912,0.9754500985145569,0.9967266917228699,0.3215723870060146,611,0.5057283043861389,0.8330605626106262,0.9067103266716003,0.9705401062965393,0.9934533834457397,0.301204433099872,611,0.0006545084971874735
21,6.172033199310302,5.929429194450378,1.3299230465888976,0.006674062193495047,5.800463365554809,dinov2_large_projection_head,val,0.42013421654701233,0.7651006579399109,0.8657718300819397,0.9382550120353699,0.9758388996124268,0.27785259759532444,0.5384615659713745,0.8690671324729919,0.9328969120979309,0.9738134145736694,0.9950900077819824,0.35555159134639425,611,0.4975450038909912,0.8248772621154785,0.8968903422355652,0.9558101296424866,0.9950900077819824,0.33639714626517747,611,0.0006243449435824271
22,6.096653650283813,5.68821215057373,1.3278381867408753,0.004569318615831435,5.687475784301758,dinov2_large_projection_head,val,0.42818790674209595,0.7744966149330139,0.8711409568786621,0.9409396052360535,0.9812080264091492,0.27674347864046106,0.5548281669616699,0.8674304485321045,0.9378068447113037,0.9803600907325745,0.9950900077819824,0.3499425656869931,611,0.5024549961090088,0.8412438631057739,0.9099836349487305,0.9639934301376343,0.9950900077819824,0.33256936792195635,611,0.0005936906572928622
23,6.0027512950897215,5.343888239860535,1.330698847770691,0.0049999372155944,5.539531284332275,dinov2_large_projection_head,val,0.4214765131473541,0.7892617583274841,0.8845637440681458,0.9422819018363953,0.9798657894134521,0.28819245004915733,0.530278205871582,0.8707037568092346,0.9443535208702087,0.978723406791687,0.9983633160591125,0.36128055910965945,611,0.5204582810401917,0.8396071791648865,0.9116203188896179,0.9607201218605042,0.9950900077819824,0.3514431748988014,611,0.000562666616782152
24,5.951225912094116,5.171586121559143,1.3326542720794678,0.005944643440423533,5.464108098983765,dinov2_large_projection_head,val,0.4429530203342438,0.7771812081336975,0.8805369138717651,0.9476510286331177,0.9758388996124268,0.2992557999964026,0.579378068447113,0.8821603655815125,0.9476268291473389,0.9803600907325745,0.9934533834457397,0.38569161121643125,611,0.5384615659713745,0.8396071791648865,0.9116203188896179,0.972176730632782,0.9901800155639648,0.3604538922752388,611,0.0005313952597646566
25,5.850835445404052,4.919694072723389,1.3283546824455261,0.0043127353453091925,5.3341931648254395,dinov2_large_projection_head,val,0.43355703353881836,0.7731543779373169,0.8724831938743591,0.9436241388320923,0.9771811962127686,0.2864495134355645,0.530278205871582,0.8772504329681396,0.9443535208702087,0.9819967150688171,0.9934533834457397,0.3580269973328524,611,0.5253682732582092,0.8330605626106262,0.9099836349487305,0.9754500985145569,0.9934533834457397,0.3444370895633082,611,0.0004999999999999998
26,5.773151508331299,4.657809753894806,1.3279524664878846,0.004814566623615974,5.216855648040771,dinov2_large_projection_head,val,0.43355703353881836,0.7879194617271423,0.8926174640655518,0.9476510286331177,0.9785234928131104,0.292141334506963,0.5351881980895996,0.8903437256813049,0.9525368213653564,0.9819967150688171,0.9934533834457397,0.36020010426460947,611,0.5073649883270264,0.8412438631057739,0.9198036193847656,0.9754500985145569,0.9918166995048523,0.35084722323146533,611,0.00046860474023534314
27,5.7132356700897216,4.454151362419128,1.3324195103645324,0.004669415835854124,5.1288255615234375,dinov2_large_projection_head,val,0.445637583732605,0.7838926315307617,0.8791946172714233,0.9463087320327759,0.9785234928131104,0.2958682079217233,0.5662847757339478,0.8837970495223999,0.950900137424469,0.9852700233459473,0.9983633160591125,0.3586085355371661,611,0.5270048975944519,0.8428805470466614,0.914893627166748,0.972176730632782,0.9950900077819824,0.347487992989209,611,0.00043733338321784774
28,5.6338053321838375,4.25400390958786,1.3178923282623292,0.003848448379139882,5.018322402954102,dinov2_large_projection_head,val,0.43758389353752136,0.7946308851242065,0.8926174640655518,0.9530201554298401,0.9812080264091492,0.30392584695115826,0.5695580840110779,0.8985270261764526,0.950900137424469,0.9836333990097046,0.9983633160591125,0.38465836350928745,611,0.5319148898124695,0.8461538553237915,0.9181669354438782,0.9803600907325745,0.9934533834457397,0.3663868096785077,611,0.00040630934270713756
29,5.620604982376099,4.2346232242584225,1.3272222037315369,0.003758795890913461,5.012376176834106,dinov2_large_projection_head,val,0.445637583732605,0.7906040549278259,0.8885905742645264,0.9436241388320923,0.9812080264091492,0.30507464925026806,0.5417348742485046,0.8788870573043823,0.9476268291473389,0.9901800155639648,0.9983633160591125,0.3821636541360459,611,0.5171849131584167,0.8314238786697388,0.9198036193847656,0.9656301140785217,0.9950900077819824,0.35295082889310636,611,0.00037565505641757246
30,5.561754564285279,3.94201949930191,1.3211702995300294,0.003986022258235607,4.89109257888794,dinov2_large_projection_head,val,0.47114095091819763,0.7946308851242065,0.8885905742645264,0.9516778588294983,0.9785234928131104,0.2990792002013013,0.5630114674568176,0.9018003344535828,0.9541735053062439,0.9852700233459473,0.9967266917228699,0.3695464622108869,611,0.5482814908027649,0.8559738397598267,0.9312602281570435,0.9689034223556519,0.9950900077819824,0.3541178968508098,611,0.00034549150281252633
31,5.500737466812134,3.8696087312698366,1.316180468559265,0.003265252953438903,4.83486337852478,dinov2_large_projection_head,val,0.463087260723114,0.7959731817245483,0.8899328708648682,0.9463087320327759,0.982550323009491,0.31148991351613153,0.5597381591796875,0.8821603655815125,0.9492635130882263,0.9852700233459473,0.9934533834457397,0.38745820211391035,611,0.5400981903076172,0.8543371558189392,0.9247136116027832,0.972176730632782,0.9950900077819824,0.36261485767574037,611,0.00031593772365766105
32,5.427178707122803,3.614300822496414,1.3141468596458434,0.0035089218027424068,4.720238670349121,dinov2_large_projection_head,val,0.46979865431785583,0.7932885885238647,0.8979865908622742,0.9503355622291565,0.9812080264091492,0.30762864763587755,0.5777413845062256,0.9018003344535828,0.9590834975242615,0.9819967150688171,0.9983633160591125,0.3759242020093296,611,0.5433714985847473,0.8527004718780518,0.9279869198799133,0.9738134145736694,0.9950900077819824,0.3658442776297903,611,0.00028711035421746355
33,5.398770172119141,3.5729639043807984,1.3069429426193238,0.0028638684896723134,4.688139080047607,dinov2_large_projection_head,val,0.4617449641227722,0.7879194617271423,0.8859060406684875,0.9436241388320923,0.9785234928131104,0.3235411815499326,0.5662847757339478,0.8821603655815125,0.9492635130882263,0.9836333990097046,0.9934533834457397,0.40196595651054545,611,0.5564647912979126,0.8543371558189392,0.914893627166748,0.9738134145736694,0.9950900077819824,0.3878725008949548,611,0.0002591231629491422
34,5.361845382690429,3.393396985292435,1.3092510461807252,0.0035061520687377197,4.617871837615967,dinov2_large_projection_head,val,0.4523490071296692,0.800000011920929,0.89127516746521,0.9489932656288147,0.9798657894134521,0.3240618854263403,0.5564647912979126,0.9001636505126953,0.9492635130882263,0.9885433912277222,0.9967266917228699,0.3937816880105226,611,0.5384615659713745,0.8608837723731995,0.9230769276618958,0.978723406791687,0.9950900077819824,0.3823568489472975,611,0.00023208660251050145
35,5.313685373306274,3.37500110912323,1.3069229326248168,0.0037070915970398347,4.586784055709839,dinov2_large_projection_head,val,0.46711409091949463,0.7973154187202454,0.8899328708648682,0.9530201554298401,0.9785234928131104,0.32390685724451423,0.5646480917930603,0.8903437256813049,0.9590834975242615,0.9836333990097046,0.9967266917228699,0.38688200584196714,611,0.5466448664665222,0.8494271636009216,0.9345335364341736,0.9819967150688171,0.9950900077819824,0.3676686523942658,611,0.00020610737385376337
36,5.280244461059571,3.1359341368675233,1.302233859062195,0.0024507561922073365,4.494181741714478,dinov2_large_projection_head,val,0.47114095091819763,0.7986577153205872,0.8872483372688293,0.9503355622291565,0.9785234928131104,0.3293732288040942,0.5581014752388,0.8903437256813049,0.9541735053062439,0.9819967150688171,0.9967266917228699,0.3987537487396716,611,0.5613747835159302,0.8576104640960693,0.9198036193847656,0.9738134145736694,0.9950900077819824,0.3802718112488258,611,0.00018128800512565502
37,5.268193365097046,3.055034539222717,1.3081571283340454,0.0033207455589581514,4.468641600608826,dinov2_large_projection_head,val,0.4684563875198364,0.8040268421173096,0.8939597606658936,0.9516778588294983,0.9812080264091492,0.3277025253907234,0.5711947679519653,0.8952536582946777,0.9558101296424866,0.9901800155639648,0.9983633160591125,0.39569470392083306,611,0.5613747835159302,0.8608837723731995,0.936170220375061,0.9836333990097046,0.9950900077819824,0.3794301039228906,611,0.00015772644703565555
38,5.253540700912476,3.1572040610313414,1.3030737471580505,0.0027921267485944553,4.488037718772889,dinov2_large_projection_head,val,0.47516778111457825,0.8067114353179932,0.8899328708648682,0.9503355622291565,0.9798657894134521,0.3357498593249218,0.5679214596748352,0.9034369587898254,0.957446813583374,0.9852700233459473,0.9983633160591125,0.4011937018377137,611,0.5613747835159302,0.865793764591217,0.9443535208702087,0.9819967150688171,0.9950900077819824,0.39010553784830526,611,0.00013551568628929425
39,5.230701013565064,3.010986657619476,1.307239930152893,0.0025471819732920268,4.435497534751892,dinov2_large_projection_head,val,0.4684563875198364,0.8026845455169678,0.8885905742645264,0.9489932656288147,0.982550323009491,0.3255757702502596,0.5597381591796875,0.8903437256813049,0.957446813583374,0.9852700233459473,0.9983633160591125,0.3876547155888365,611,0.5581014752388,0.8576104640960693,0.9328969120979309,0.9738134145736694,0.9950900077819824,0.37771769814816225,611,0.00011474337861210535
40,5.2030955448150635,2.9890116477012634,1.2988681573867797,0.003379281130502932,4.409824509620666,dinov2_large_projection_head,val,0.4604026973247528,0.809395968914032,0.8899328708648682,0.9476510286331177,0.9812080264091492,0.32942822062474664,0.5679214596748352,0.8837970495223999,0.9558101296424866,0.9819967150688171,0.9967266917228699,0.3943529894948072,611,0.551554799079895,0.8576104640960693,0.9263502359390259,0.9819967150688171,0.9950900077819824,0.37748190705199147,611,9.549150281252626e-05
41,5.180871583938599,2.88470555973053,1.297607976913452,0.0023555714074609568,4.365821966171264,dinov2_large_projection_head,val,0.46711409091949463,0.8120805621147156,0.8899328708648682,0.9516778588294983,0.9785234928131104,0.33484550834321125,0.5711947679519653,0.8919803500175476,0.9607201218605042,0.9852700233459473,0.9983633160591125,0.3998755889956795,611,0.5400981903076172,0.865793764591217,0.929623544216156,0.9803600907325745,0.9950900077819824,0.38322964121319825,611,7.783603724899252e-05
42,5.1659785213470455,2.8042884941101076,1.2936309294700623,0.0021013188713404816,4.331288387298584,dinov2_large_projection_head,val,0.4684563875198364,0.8080536723136902,0.89127516746521,0.9543623924255371,0.9798657894134521,0.3361164800353937,0.5662847757339478,0.8968903422355652,0.9590834975242615,0.9885433912277222,0.9983633160591125,0.40152078485817955,611,0.5531914830207825,0.8674304485321045,0.936170220375061,0.978723406791687,0.9950900077819824,0.3867209290295487,611,6.184665997806817e-05
43,5.162805988311767,2.858210084438324,1.2926021423339844,0.003001077858887584,4.345788288116455,dinov2_large_projection_head,val,0.4684563875198364,0.8120805621147156,0.8939597606658936,0.9503355622291565,0.9798657894134521,0.33365324208795705,0.5646480917930603,0.8968903422355652,0.9607201218605042,0.9836333990097046,0.9983633160591125,0.39644456418297314,611,0.5384615659713745,0.8641571402549744,0.936170220375061,0.9803600907325745,0.9950900077819824,0.38274815261418155,611,4.7586473766990294e-05
44,5.15271809387207,2.767668206691742,1.2906248230934143,0.0020659934380673805,4.311543108940125,dinov2_large_projection_head,val,0.46711409091949463,0.800000011920929,0.8966442942619324,0.9503355622291565,0.9798657894134521,0.3379595605492816,0.5646480917930603,0.8952536582946777,0.9623568058013916,0.9836333990097046,0.9950900077819824,0.4022392863796862,611,0.5400981903076172,0.8576104640960693,0.936170220375061,0.9803600907325745,0.9950900077819824,0.3862592027717264,611,3.5111757055874305e-05
45,5.149030103683471,2.87929599070549,1.2887802004814148,0.002159294367331313,4.341961521148682,dinov2_large_projection_head,val,0.47114095091819763,0.8026845455169678,0.899328887462616,0.9503355622291565,0.9798657894134521,0.33755790393966795,0.5695580840110779,0.8952536582946777,0.9607201218605042,0.9836333990097046,0.9967266917228699,0.40085730528483393,611,0.5548281669616699,0.8543371558189392,0.9345335364341736,0.9770867228507996,0.9950900077819824,0.3854168301383101,611,2.4471741852423218e-05
46,5.117095211029053,2.7627756671905517,1.2905949096679687,0.0015606829525931971,4.291889248847961,dinov2_large_projection_head,val,0.46979865431785583,0.8067114353179932,0.8939597606658936,0.9503355622291565,0.9798657894134521,0.33605098009428286,0.5662847757339478,0.8936170339584351,0.9607201218605042,0.9836333990097046,0.9967266917228699,0.3998777314740841,611,0.5548281669616699,0.8559738397598267,0.936170220375061,0.9770867228507996,0.9950900077819824,0.38318966387930364,611,1.5708419435684507e-05
